Power plant;HV-B Station;HV-A Station;LV Station;Company;Individual;Capacity;Load
1;-;-;-;-;-;23376937606;-
1;1;-;-;-;-;1237448103;-
1;1;-;-;8920037;-;-;138565772
1;1;1;-;-;-;285874986;-
1;-;1;-;8910770;-;-;4265327
1;-;1;-;8910771;-;-;4249121
1;-;1;-;8910772;-;-;4594560
1;-;1;-;8910773;-;-;4461830
1;-;1;-;8910774;-;-;3825638
1;-;1;-;8910775;-;-;4540498
1;-;1;-;8910776;-;-;3937231
1;-;1;-;8910777;-;-;3638978
1;-;1;-;8910778;-;-;4544852
1;-;1;-;8910779;-;-;3436194
1;-;1;-;8910780;-;-;4402283
1;-;1;-;8910781;-;-;4460831
1;-;1;-;8910782;-;-;4118871
1;-;1;-;8910783;-;-;3448418
1;-;1;-;8910784;-;-;4170339
1;-;1;-;8910785;-;-;3795461
1;-;1;-;8910786;-;-;3485987
1;-;1;-;8910787;-;-;4639913
1;-;1;-;8910788;-;-;3578775
1;-;1;-;8910789;-;-;4301107
1;-;1;-;8910790;-;-;4207055
1;-;1;-;8910791;-;-;3785270
1;-;1;1;-;-;807942;-
1;-;-;1;1;-;-;11967
1;-;-;1;2;-;-;16001
1;-;-;1;3;-;-;11649
1;-;-;1;4;-;-;14905
1;-;-;1;5;-;-;15168
1;-;-;1;6;-;-;13422
1;-;-;1;7;-;-;11802
1;-;-;1;-;1248358;-;5528
1;-;-;1;-;1248359;-;4810
1;-;-;1;-;1248360;-;3856
1;-;-;1;-;1248361;-;5306
1;-;-;1;-;1248362;-;4477
1;-;-;1;-;1248363;-;4491
1;-;-;1;-;1248364;-;4162
1;-;-;1;-;1248365;-;5564
1;-;-;1;-;1248366;-;4547
1;-;-;1;-;1248367;-;5155
1;-;-;1;-;1248368;-;5265
1;-;-;1;-;1248369;-;3805
1;-;-;1;-;1248370;-;4686
1;-;-;1;-;1248371;-;4475
1;-;-;1;-;1248372;-;4981
1;-;-;1;-;1248373;-;4159
1;-;-;1;-;1248374;-;4661
1;-;-;1;-;1248375;-;4246
1;-;-;1;-;1248376;-;5600
1;-;-;1;-;1248377;-;3958
1;-;-;1;-;1248378;-;5133
1;-;-;1;-;1248379;-;3961
1;-;-;1;-;1248380;-;4755
1;-;-;1;-;1248381;-;4972
1;-;-;1;-;1248382;-;5637
1;-;-;1;-;1248383;-;5223
1;-;-;1;-;1248384;-;5571
1;-;-;1;-;1248385;-;5042
1;-;-;1;-;1248386;-;4009
1;-;-;1;-;1248387;-;5588
1;-;-;1;-;1248388;-;5080
1;-;-;1;-;1248389;-;5370
1;-;-;1;-;1248390;-;4616
1;-;-;1;-;1248391;-;5369
1;-;-;1;-;1248392;-;4232
1;-;-;1;-;1248393;-;5287
1;-;-;1;-;1248394;-;5316
1;-;-;1;-;1248395;-;5582
1;-;-;1;-;1248396;-;5169
1;-;-;1;-;1248397;-;5183
1;-;-;1;-;1248398;-;5266
1;-;1;2;-;-;777538;-
1;-;-;2;8;-;-;14296
1;-;-;2;9;-;-;12521
1;-;-;2;10;-;-;13387
1;-;-;2;11;-;-;14539
1;-;-;2;12;-;-;13192
1;-;-;2;13;-;-;12851
1;-;-;2;14;-;-;12308
1;-;-;2;15;-;-;15374
1;-;-;2;-;1248399;-;5168
1;-;-;2;-;1248400;-;4859
1;-;-;2;-;1248401;-;4711
1;-;-;2;-;1248402;-;5294
1;-;-;2;-;1248403;-;5117
1;-;-;2;-;1248404;-;5011
1;-;-;2;-;1248405;-;3759
1;-;-;2;-;1248406;-;5058
1;-;-;2;-;1248407;-;4886
1;-;-;2;-;1248408;-;5289
1;-;-;2;-;1248409;-;4186
1;-;-;2;-;1248410;-;4604
1;-;-;2;-;1248411;-;5475
1;-;-;2;-;1248412;-;5517
1;-;-;2;-;1248413;-;5183
1;-;-;2;-;1248414;-;5288
1;-;-;2;-;1248415;-;4187
1;-;-;2;-;1248416;-;4328
1;-;-;2;-;1248417;-;4650
1;-;-;2;-;1248418;-;5277
1;-;-;2;-;1248419;-;4251
1;-;-;2;-;1248420;-;5272
1;-;-;2;-;1248421;-;4492
1;-;-;2;-;1248422;-;4594
1;-;-;2;-;1248423;-;4131
1;-;-;2;-;1248424;-;3872
1;-;-;2;-;1248425;-;5297
1;-;-;2;-;1248426;-;5165
1;-;-;2;-;1248427;-;5170
1;-;-;2;-;1248428;-;3857
1;-;-;2;-;1248429;-;5609
1;-;-;2;-;1248430;-;4308
1;-;-;2;-;1248431;-;4725
1;-;-;2;-;1248432;-;3837
1;-;-;2;-;1248433;-;4874
1;-;-;2;-;1248434;-;5191
1;-;-;2;-;1248435;-;4115
1;-;-;2;-;1248436;-;4589
1;-;-;2;-;1248437;-;4748
1;-;-;2;-;1248438;-;4514
1;-;-;2;-;1248439;-;4413
1;-;-;2;-;1248440;-;4169
1;-;-;2;-;1248441;-;4358
1;-;-;2;-;1248442;-;3929
1;-;-;2;-;1248443;-;4950
1;-;-;2;-;1248444;-;4031
1;-;1;3;-;-;819251;-
1;-;-;3;16;-;-;14993
1;-;-;3;17;-;-;16153
1;-;-;3;18;-;-;13067
1;-;-;3;19;-;-;13235
1;-;-;3;20;-;-;13629
1;-;-;3;21;-;-;11321
1;-;-;3;22;-;-;14528
1;-;-;3;23;-;-;15917
1;-;-;3;-;1248445;-;4251
1;-;-;3;-;1248446;-;4002
1;-;-;3;-;1248447;-;4952
